geo,TIME_PERIOD,OBS_VALUE,label_variation,prob_aumento,prob_diminuzione,prob_stabile
AL,2017,0.6,aumento,1.0,0.0,0.0
AL,2018,0.6,stabile,0.0,0.3,0.7
AL,2019,0.2,diminuzione,0.0,0.5,0.5
AL,2020,0.2,stabile,0.0,0.6,0.4
AL,2021,1.9,aumento,1.0,0.0,0.0
AL,2022,6.4,aumento,1.0,0.0,0.0
AL,2023,4.5,diminuzione,0.0,0.9,0.1
AT,2017,3.5,aumento,0.9,0.0,0.1
AT,2018,2.9,diminuzione,0.0,0.8,0.1
AT,2019,1.1,diminuzione,0.0,0.9,0.1
AT,2020,0.8,diminuzione,0.0,1.0,0.0
AT,2021,10.5,aumento,1.0,0.0,0.0
AT,2022,10.1,stabile,0.0,0.8,0.2
AT,2023,1.1,diminuzione,0.0,1.0,0.0
BE,2017,2.5,aumento,1.0,0.0,0.0
BE,2017,2.5,stabile,0.0,0.7,0.3
BE,2017,2.6,stabile,0.2,0.0,0.8
BE,2018,2.9,stabile,0.7,0.0,0.3
BE,2018,2.9,stabile,0.0,0.0,1.0
BE,2018,2.9,stabile,0.0,0.7,0.3
BE,2019,1.8,diminuzione,0.0,0.6,0.4
BE,2019,1.8,stabile,0.0,0.6,0.4
BE,2019,2.0,stabile,0.1,0.0,0.9
BE,2020,1.4,diminuzione,0.0,0.1,0.9
BE,2020,1.4,stabile,0.0,0.1,0.9
BE,2020,1.4,stabile,0.0,0.1,0.9
BE,2021,6.3,aumento,1.0,0.0,0.0
BE,2021,6.3,stabile,0.0,0.9,0.1
BE,2021,6.5,stabile,0.2,0.0,0.8
BE,2022,12.1,aumento,1.0,0.0,0.0
BE,2022,12.1,stabile,0.0,0.8,0.2
BE,2022,12.4,stabile,0.4,0.0,0.6
BE,2023,3.3,diminuzione,0.0,1.0,0.0
BE,2023,3.3,stabile,0.0,1.0,0.0
BG,2017,2.7,aumento,1.0,0.0,0.0
BG,2018,2.7,stabile,0.0,0.8,0.2
BG,2019,5.3,aumento,1.0,0.0,0.0
BG,2020,2.2,diminuzione,0.0,1.0,0.0
BG,2021,11.4,aumento,1.0,0.0,0.0
BG,2022,54.8,aumento,1.0,0.0,0.0
BG,2023,16.3,diminuzione,0.0,0.9,0.1
CY,2017,0.1,diminuzione,0.0,0.9,0.1
CY,2018,1.2,aumento,0.9,0.0,0.1
CY,2019,2.2,aumento,0.8,0.0,0.2
CY,2020,0.2,diminuzione,0.0,0.7,0.3
CY,2021,7.6,aumento,1.0,0.0,0.0
CY,2022,11.7,aumento,1.0,0.0,0.0
CY,2023,2.5,diminuzione,0.0,1.0,0.0
CZ,2017,2.7,aumento,1.0,0.0,0.0
CZ,2018,4.0,aumento,1.0,0.0,0.0
CZ,2019,5.5,aumento,1.0,0.0,0.0
CZ,2020,2.1,diminuzione,0.0,1.0,0.0
CZ,2021,8.3,aumento,1.0,0.0,0.0
CZ,2022,20.4,aumento,1.0,0.0,0.0
CZ,2023,4.4,diminuzione,0.0,0.8,0.2
DE,2017,3.5,aumento,0.9,0.0,0.1
DE,2018,3.6,stabile,0.9,0.0,0.0
DE,2019,2.2,diminuzione,0.0,0.6,0.4
DE,2020,2.0,stabile,0.0,0.8,0.2
DE,2021,6.8,aumento,1.0,0.0,0.0
DE,2022,13.0,aumento,1.0,0.0,0.0
DE,2023,3.5,diminuzione,0.0,1.0,0.0
DK,2017,0.8,diminuzione,0.0,0.9,0.1
DK,2018,1.8,aumento,0.7,0.0,0.3
DK,2019,0.7,diminuzione,0.0,0.9,0.1
DK,2020,0.7,stabile,0.0,0.8,0.2
DK,2021,4.0,aumento,0.9,0.0,0.0
DK,2022,10.0,aumento,1.0,0.0,0.0
DK,2023,4.5,diminuzione,0.0,0.9,0.1
EE,2017,1.3,diminuzione,0.0,0.4,0.6
EE,2018,1.8,aumento,0.9,0.0,0.1
EE,2019,1.9,stabile,0.8,0.0,0.2
EE,2020,0.4,diminuzione,0.0,0.5,0.5
EE,2021,9.4,aumento,1.0,0.0,0.0
EE,2022,18.2,aumento,1.0,0.0,0.0
EE,2023,5.2,diminuzione,0.0,1.0,0.0
