geo,TIME_PERIOD,OBS_VALUE,pred_cost
AL,2004,3.0,1.6
AL,2005,1.4,1.6
AL,2006,1.1,2.7
AL,2007,2.5,1.8
AL,2008,1.2,0.6
AL,2009,0.0,0.1
AL,2010,0.3,0.6
AL,2011,0.5,0.7
AL,2012,0.6,0.8
AL,2013,0.9,0.5
AL,2014,0.3,0.3
AL,2015,0.2,0.2
AL,2016,0.1,0.3
AL,2017,0.6,1.0
AL,2018,0.6,0.9
AL,2019,0.2,-0.1
AL,2020,0.2,-0.5
AL,2021,1.9,2.7
AL,2022,6.4,5.4
AL,2023,4.5,4.6
AT,1992,4.9,3.9
AT,1993,4.7,3.2
AT,1994,3.4,3.9
AT,1995,3.5,2.4
AT,1996,1.6,2.7
AT,1997,2.8,2.3
AT,1998,2.1,2.4
AT,1999,2.1,2.7
AT,2000,2.2,2.5
AT,2001,2.2,1.6
AT,2002,1.4,2.6
AT,2003,2.8,4.4
AT,2004,5.1,2.7
AT,2005,2.1,3.5
AT,2006,4.6,4.7
AT,2007,4.5,4.9
AT,2008,5.2,1.2
AT,2009,0.7,1.9
AT,2010,3.1,2.4
AT,2011,2.4,2.5
AT,2012,2.1,2.0
AT,2013,1.9,1.6
AT,2014,1.1,2.3
AT,2015,1.5,1.2
AT,2016,0.7,2.6
AT,2017,3.5,2.5
AT,2018,2.9,2.7
AT,2019,1.1,3.5
AT,2020,0.8,1.5
AT,2021,10.5,6.9
AT,2022,10.1,7.5
AT,2023,1.1,0.8
BE,2001,1.6,2.0
BE,2001,2.0,1.9
BE,2002,1.9,1.9
BE,2002,1.9,1.9
BE,2002,1.9,1.7
BE,2003,1.7,1.8
BE,2003,1.7,1.8
BE,2003,2.0,3.0
BE,2004,3.0,3.0
BE,2004,3.0,3.2
BE,2004,3.2,2.5
BE,2005,2.5,2.6
BE,2005,2.5,2.6
BE,2005,2.5,3.0
BE,2006,3.0,3.0
BE,2006,3.0,3.3
BE,2006,3.3,4.0
BE,2007,4.0,4.0
BE,2007,4.0,4.2
BE,2007,4.2,3.7
BE,2008,3.7,3.9
BE,2008,3.7,3.9
BE,2008,4.0,0.4
BE,2009,0.4,0.4
BE,2009,0.4,0.8
BE,2009,0.4,1.9
BE,2010,1.9,1.9
BE,2010,1.9,1.8
BE,2010,1.8,3.1
BE,2011,3.1,3.1
BE,2011,3.1,3.3
BE,2011,3.3,1.9
BE,2012,1.9,1.9
BE,2012,1.9,1.9
BE,2012,2.0,0.7
BE,2013,0.7,0.7
BE,2013,0.7,0.7
BE,2013,0.7,0.6
BE,2014,0.6,0.6
BE,2014,0.6,0.6
BE,2014,0.7,0.9
BE,2015,0.9,0.9
BE,2015,0.9,0.9
BE,2015,0.9,0.8
BE,2016,0.8,1.0
BE,2016,0.8,1.0
BE,2016,1.1,2.5
BE,2017,2.5,2.5
BE,2017,2.5,2.3
BE,2017,2.6,2.0
BE,2018,2.9,3.8
BE,2018,2.9,3.5
BE,2018,2.9,2.1
BE,2019,1.8,1.8
BE,2019,1.8,1.8
BE,2019,2.0,1.7
BE,2020,1.4,2.3
BE,2020,1.4,2.3
BE,2020,1.4,3.1
BE,2021,6.3,3.4
BE,2021,6.3,2.8
BE,2021,6.5,2.8
BE,2022,12.1,6.5
BE,2022,12.1,6.8
BE,2022,12.4,8.4
BE,2023,3.3,2.3
BE,2023,3.3,2.5
BG,2002,1.9,2.0
BG,2003,2.0,3.0
BG,2004,2.9,6.2
BG,2005,8.5,6.0
BG,2006,6.1,5.0
BG,2007,6.3,10.3
BG,2008,12.1,7.1
BG,2009,7.2,0.4
BG,2010,-1.5,1.0
BG,2011,0.5,0.4
BG,2012,-0.7,1.0
BG,2013,1.4,0.9
BG,2014,0.5,1.2
BG,2015,1.2,1.3
BG,2016,0.6,2.3
BG,2017,2.7,3.1
BG,2018,2.7,2.6
BG,2019,5.3,3.9
BG,2020,2.2,2.4
BG,2021,11.4,8.8
BG,2022,54.8,25.2
BG,2023,16.3,17.2
CY,2000,4.4,3.5
CY,2001,3.6,3.8
CY,2002,3.9,4.3
CY,2003,5.4,6.0
CY,2004,7.2,4.1
CY,2005,4.5,4.9
CY,2006,5.1,5.1
CY,2007,5.0,6.1
CY,2008,7.9,3.4
CY,2009,0.9,2.1
CY,2010,3.1,3.0
CY,2011,3.5,1.3
CY,2012,0.9,-1.9
CY,2013,-4.0,-0.4
CY,2014,-1.8,-0.4
CY,2015,-0.8,-0.5
CY,2016,-0.8,0.2
CY,2017,0.1,0.7
CY,2018,1.2,1.7
CY,2019,2.2,2.3
CY,2020,0.2,0.9
CY,2021,7.6,6.4
CY,2022,11.7,15.5
CY,2023,2.5,2.1
CZ,2002,2.5,2.6
CZ,2003,2.0,5.4
CZ,2004,8.3,5.6
CZ,2005,3.7,2.7
CZ,2006,2.2,3.2
CZ,2007,4.8,3.6
CZ,2008,3.5,1.0
CZ,2009,-0.3,0.9
CZ,2010,1.0,2.0
CZ,2011,1.8,1.3
CZ,2012,0.5,0.2
CZ,2013,-0.4,0.8
CZ,2014,1.1,1.1
CZ,2015,0.1,0.3
CZ,2016,0.2,1.4
CZ,2017,2.7,2.9
CZ,2018,4.0,4.5
CZ,2019,5.5,5.2
CZ,2020,2.1,2.5
CZ,2021,8.3,5.6
CZ,2022,20.4,10.1
CZ,2023,4.4,2.5
DE,2002,0.9,1.0
DE,2003,1.1,3.0
DE,2004,2.6,2.0
DE,2005,1.5,2.2
DE,2006,2.5,3.0
DE,2007,3.3,3.3
DE,2008,3.4,1.3
DE,2009,0.3,1.6
DE,2010,2.3,3.0
DE,2011,3.7,2.6
DE,2012,2.0,0.9
DE,2013,0.7,0.8
DE,2014,0.9,1.2
DE,2015,1.3,3.4
DE,2016,1.3,3.5
DE,2017,3.5,2.4
DE,2018,3.6,2.6
DE,2019,2.2,1.8
DE,2020,2.0,1.7
DE,2021,6.8,4.6
DE,2022,13.0,17.8
DE,2023,3.5,1.0
DK,1997,2.5,2.6
DK,1998,3.0,3.2
DK,1999,3.2,2.7
DK,2000,2.6,2.5
DK,2001,3.2,2.5
DK,2002,2.2,2.3
DK,2003,2.3,2.2
DK,2004,2.1,2.3
DK,2005,2.3,3.6
DK,2006,4.7,5.6
DK,2007,6.4,4.1
DK,2008,2.9,1.3
DK,2009,-0.5,1.0
DK,2010,1.2,3.2
DK,2011,3.6,3.1
DK,2012,2.6,1.5
DK,2013,1.5,1.8
DK,2014,1.6,2.1
DK,2015,1.9,1.6
DK,2016,1.5,1.6
DK,2017,0.8,1.1
DK,2018,1.8,1.8
DK,2019,0.7,0.8
DK,2020,0.7,0.9
DK,2021,4.0,3.1
DK,2022,10.0,6.4
DK,2023,4.5,3.7
EE,2000,2.4,5.0
EE,2001,5.6,3.7
EE,2002,4.0,3.1
EE,2003,3.5,4.1
EE,2004,5.2,5.4
EE,2005,6.3,9.5
EE,2006,10.4,9.7
EE,2007,12.6,5.3
EE,2008,3.5,-4.2
EE,2009,-8.3,-0.9
EE,2010,-2.7,2.9
EE,2011,3.4,3.4
EE,2012,4.5,4.6
EE,2013,4.9,1.6
EE,2014,0.3,0.8
EE,2015,0.8,0.4
EE,2016,-0.5,1.0
EE,2017,1.3,3.4
EE,2018,1.8,2.8
EE,2019,1.9,1.2
EE,2020,0.4,0.8
EE,2021,9.4,-2.8
EE,2022,18.2,26.4
EE,2023,5.2,3.0
EL,2002,2.5,2.6
EL,2003,2.8,3.0
EL,2004,3.1,3.3
EL,2005,3.4,4.0
EL,2006,4.3,4.3
EL,2007,4.6,4.5
EL,2008,5.2,1.6
EL,2009,-0.4,1.3
EL,2010,1.9,1.6
EL,2011,1.0,0.7
EL,2012,-0.1,-0.6
EL,2013,-1.3,-1.0
EL,2014,-3.0,-0.8
EL,2015,-2.3,0.7
EL,2016,-1.7,0.3
EL,2017,0.2,0.1
EL,2018,0.5,0.9
EL,2019,0.2,-0.2
EL,2020,0.1,-0.0
EL,2021,3.2,2.9
EL,2022,8.8,7.1
EL,2023,6.3,4.5
ES,1982,13.0,10.2
ES,1983,11.5,9.1
ES,1984,10.3,6.5
ES,1985,8.4,5.5
ES,1986,6.1,3.7
ES,1987,3.5,3.3
ES,1988,4.2,4.4
ES,1989,5.8,5.2
ES,1990,5.5,4.0
ES,1991,4.3,3.9
ES,1992,4.1,3.5
ES,1993,3.5,3.1
ES,1994,3.4,4.5
ES,1995,4.9,3.3
ES,1996,2.8,2.1
ES,1997,2.0,2.0
ES,1998,1.8,1.9
ES,1999,1.6,3.4
ES,2000,4.3,3.7
ES,2001,2.8,2.1
ES,2002,1.6,2.0
ES,2003,2.2,4.2
ES,2004,4.8,4.3
ES,2005,4.5,5.5
ES,2006,6.9,5.0
ES,2007,5.0,4.4
ES,2008,4.7,2.3
ES,2009,1.1,2.6
ES,2010,2.5,3.3
ES,2011,3.8,0.9
ES,2012,-0.2,0.2
ES,2013,0.2,0.3
ES,2014,0.2,-0.6
ES,2015,-1.4,-0.3
ES,2016,-1.2,1.4
ES,2017,2.2,2.9
ES,2018,2.4,2.4
ES,2019,1.0,-0.1
ES,2020,-0.8,0.5
ES,2021,8.5,3.9
ES,2022,12.3,25.7
ES,2023,2.4,1.8
FI,1997,2.5,2.6
FI,1998,2.3,1.8
FI,1999,1.4,2.8
FI,2000,3.1,2.6
FI,2001,2.4,1.6
FI,2002,0.7,0.9
FI,2003,1.9,2.2
FI,2004,2.4,3.0
FI,2005,3.4,3.3
FI,2006,3.8,5.1
FI,2007,5.9,4.9
FI,2008,4.0,0.5
FI,2009,-1.1,0.9
FI,2010,1.1,3.0
FI,2011,3.3,2.5
FI,2012,2.4,1.4
FI,2013,0.9,1.0
FI,2014,1.0,0.7
FI,2015,0.6,0.7
FI,2016,0.5,0.5
FI,2017,0.2,-0.7
FI,2018,2.3,2.2
FI,2019,1.1,4.8
FI,2020,-0.3,0.2
FI,2021,5.5,3.8
FI,2022,8.2,7.5
FI,2023,3.0,1.7
FR,2001,1.6,2.0
FR,2001,2.0,1.9
FR,2002,1.9,1.9
FR,2002,1.9,1.9
FR,2002,1.9,1.7
FR,2003,1.7,1.8
FR,2003,1.7,1.8
FR,2003,2.0,3.0
FR,2004,3.0,3.0
FR,2004,3.0,3.2
FR,2004,3.2,2.5
FR,2005,2.5,2.6
FR,2005,2.5,2.6
FR,2005,2.5,3.0
FR,2006,3.0,3.0
FR,2006,3.0,3.3
FR,2006,3.3,4.0
FR,2007,4.0,4.0
FR,2007,4.0,4.2
FR,2007,4.2,3.7
FR,2008,3.7,3.9
FR,2008,3.7,3.9
FR,2008,4.0,0.4
FR,2009,0.4,0.4
FR,2009,0.4,0.8
FR,2009,0.4,1.9
FR,2010,1.9,1.9
FR,2010,1.9,1.8
FR,2010,1.8,3.1
FR,2011,3.1,3.1
FR,2011,3.1,3.3
FR,2011,3.3,1.9
FR,2012,1.9,1.9
FR,2012,1.9,1.9
FR,2012,2.0,0.7
FR,2013,0.7,0.7
FR,2013,0.7,0.7
FR,2013,0.7,0.6
FR,2014,0.6,0.6
FR,2014,0.6,0.6
FR,2014,0.7,0.9
FR,2015,0.9,0.9
FR,2015,0.9,0.9
FR,2015,0.9,0.8
FR,2016,0.8,1.0
FR,2016,0.8,1.0
FR,2016,1.1,2.5
FR,2017,2.5,2.5
FR,2017,2.5,2.3
FR,2017,2.6,2.0
FR,2018,2.9,3.8
FR,2018,2.9,3.5
FR,2018,2.9,2.1
FR,2019,1.8,1.8
FR,2019,1.8,1.8
FR,2019,2.0,1.7
FR,2020,1.4,2.3
FR,2020,1.4,2.3
FR,2020,1.4,3.1
FR,2021,6.3,3.4
FR,2021,6.3,2.8
FR,2021,6.5,2.8
FR,2022,12.1,6.5
FR,2022,12.1,6.8
FR,2022,12.4,8.4
FR,2023,3.3,2.3
FR,2023,3.3,2.5
GR,2001,1.6,2.0
GR,2001,2.0,1.9
GR,2002,1.9,1.9
GR,2002,1.9,1.9
GR,2002,1.9,1.7
GR,2003,1.7,1.8
GR,2003,1.7,1.8
GR,2003,2.0,3.0
GR,2004,3.0,3.0
GR,2004,3.0,3.2
GR,2004,3.2,2.5
GR,2005,2.5,2.6
GR,2005,2.5,2.6
GR,2005,2.5,3.0
GR,2006,3.0,3.0
GR,2006,3.0,3.3
GR,2006,3.3,4.0
GR,2007,4.0,4.0
GR,2007,4.0,4.2
GR,2007,4.2,3.7
GR,2008,3.7,3.9
GR,2008,3.7,3.9
GR,2008,4.0,0.4
GR,2009,0.4,0.4
GR,2009,0.4,0.8
GR,2009,0.4,1.9
GR,2010,1.9,1.9
GR,2010,1.9,1.8
GR,2010,1.8,3.1
GR,2011,3.1,3.1
GR,2011,3.1,3.3
GR,2011,3.3,1.9
GR,2012,1.9,1.9
GR,2012,1.9,1.9
GR,2012,2.0,0.7
GR,2013,0.7,0.7
GR,2013,0.7,0.7
GR,2013,0.7,0.6
GR,2014,0.6,0.6
GR,2014,0.6,0.6
GR,2014,0.7,0.9
GR,2015,0.9,0.9
GR,2015,0.9,0.9
GR,2015,0.9,0.8
GR,2016,0.8,1.0
GR,2016,0.8,1.0
GR,2016,1.1,2.5
GR,2017,2.5,2.5
GR,2017,2.5,2.3
GR,2017,2.6,2.0
GR,2018,2.9,3.8
GR,2018,2.9,3.5
GR,2018,2.9,2.1
GR,2019,1.8,1.8
GR,2019,1.8,1.8
GR,2019,2.0,1.7
GR,2020,1.4,2.3
GR,2020,1.4,2.3
GR,2020,1.4,3.1
GR,2021,6.3,3.4
GR,2021,6.3,2.8
GR,2021,6.5,2.8
GR,2022,12.1,6.5
GR,2022,12.1,6.8
GR,2022,12.4,8.4
GR,2023,3.3,2.3
GR,2023,3.3,2.5
HR,2001,2.0,2.4
HR,2002,1.9,1.8
HR,2002,1.9,1.8
HR,2003,1.7,1.9
HR,2003,2.0,3.0
HR,2004,3.0,3.2
HR,2004,3.2,2.5
HR,2005,2.5,2.6
HR,2005,2.5,2.6
HR,2006,3.0,3.2
HR,2006,3.3,3.9
HR,2007,4.0,3.5
HR,2007,4.2,3.7
HR,2008,3.7,4.1
HR,2008,4.0,1.9
HR,2009,0.4,0.4
HR,2009,0.4,0.8
HR,2010,1.9,1.9
HR,2010,1.8,2.8
HR,2011,3.1,3.3
HR,2011,3.3,2.5
HR,2012,1.9,2.3
HR,2012,2.0,1.2
HR,2013,0.7,0.8
HR,2013,0.7,0.7
HR,2014,0.6,0.8
HR,2014,0.7,0.9
HR,2015,0.9,0.9
HR,2015,0.9,0.9
HR,2016,0.8,1.0
HR,2016,1.1,2.5
HR,2017,2.5,2.5
HR,2017,2.6,2.3
HR,2018,2.9,3.0
HR,2018,2.9,3.5
HR,2019,1.8,2.0
HR,2019,2.0,1.9
HR,2020,1.4,3.1
HR,2020,1.4,2.3
HR,2021,6.3,3.1
HR,2021,6.5,2.8
HR,2022,12.1,22.1
HR,2022,12.4,6.0
HR,2023,3.3,1.6
HU,2001,11.1,6.5
HU,2002,6.0,3.7
HU,2003,4.0,5.1
HU,2004,5.7,3.9
HU,2005,3.4,4.6
HU,2006,5.9,6.3
HU,2007,7.6,6.0
HU,2008,7.5,3.3
HU,2009,3.1,0.7
HU,2010,-0.4,0.7
HU,2011,0.6,3.5
HU,2012,4.7,4.5
HU,2013,4.7,2.8
HU,2014,2.4,2.9
HU,2015,3.5,1.7
HU,2016,1.5,4.9
HU,2017,7.0,4.7
HU,2018,5.3,3.7
HU,2019,9.9,-1.2
HU,2020,10.9,4.5
HU,2021,15.7,9.8
HU,2022,12.4,7.4
IE,2001,1.6,2.0
IE,2001,2.0,1.9
IE,2002,1.9,1.9
IE,2002,1.9,1.9
IE,2002,1.9,1.7
IE,2003,1.7,1.8
IE,2003,1.7,1.8
IE,2003,2.0,3.0
IE,2004,3.0,3.0
IE,2004,3.0,3.2
IE,2004,3.2,2.5
IE,2005,2.5,2.6
IE,2005,2.5,2.6
IE,2005,2.5,3.0
IE,2006,3.0,3.0
IE,2006,3.0,3.3
IE,2006,3.3,4.0
IE,2007,4.0,4.0
IE,2007,4.0,4.2
IE,2007,4.2,3.7
IE,2008,3.7,3.9
IE,2008,3.7,3.9
IE,2008,4.0,0.4
IE,2009,0.4,0.4
IE,2009,0.4,0.8
IE,2009,0.4,1.9
IE,2010,1.9,1.9
IE,2010,1.9,1.8
IE,2010,1.8,3.1
IE,2011,3.1,3.1
IE,2011,3.1,3.3
IE,2011,3.3,1.9
IE,2012,1.9,1.9
IE,2012,1.9,1.9
IE,2012,2.0,0.7
IE,2013,0.7,0.7
IE,2013,0.7,0.7
IE,2013,0.7,0.6
IE,2014,0.6,0.6
IE,2014,0.6,0.6
IE,2014,0.7,0.9
IE,2015,0.9,0.9
IE,2015,0.9,0.9
IE,2015,0.9,0.8
IE,2016,0.8,1.0
IE,2016,0.8,1.0
IE,2016,1.1,2.5
IE,2017,2.5,2.5
IE,2017,2.5,2.3
IE,2017,2.6,2.0
IE,2018,2.9,3.8
IE,2018,2.9,3.5
IE,2018,2.9,2.1
IE,2019,1.8,1.8
IE,2019,1.8,1.8
IE,2019,2.0,1.7
IE,2020,1.4,2.3
IE,2020,1.4,2.3
IE,2020,1.4,3.1
IE,2021,6.3,3.4
IE,2021,6.3,2.8
IE,2021,6.5,2.8
IE,2022,12.1,6.5
IE,2022,12.1,6.8
IE,2022,12.4,8.4
IE,2023,3.3,2.3
IE,2023,3.3,2.5
IT,1992,4.9,2.9
IT,1993,2.9,3.4
IT,1994,3.5,2.7
IT,1995,2.0,1.8
IT,1996,1.7,2.7
IT,1997,2.6,0.1
IT,1998,-1.4,0.7
IT,1999,1.6,2.6
IT,2000,3.0,2.4
IT,2001,2.3,3.2
IT,2002,3.9,3.2
IT,2003,3.0,3.8
IT,2004,4.1,4.0
IT,2005,4.0,3.1
IT,2006,2.8,3.4
IT,2007,3.7,3.5
IT,2008,3.8,2.1
IT,2009,0.9,1.6
IT,2010,1.5,2.9
IT,2011,3.0,2.3
