geo,TIME_PERIOD,OBS_VALUE,target_cost,prev_cost,var_perc,label_variation,rolling_mean_3,rolling_mean_5,rolling_std_3,pct_change_3,grew_last_year,slope_3
AL,2004,3.0,1.4,2.6,15.4,aumento,3.0,3.0,0.0,0.0,1,0.0
AL,2005,1.4,1.1,3.0,-53.3,diminuzione,2.2,2.2,1.1,0.0,0,0.0
AL,2006,1.1,2.5,1.4,-21.4,diminuzione,1.8,1.8,1.0,0.0,0,-0.9
AL,2007,2.5,1.2,1.1,127.3,aumento,1.7,2.0,0.7,-0.2,1,0.6
AL,2008,1.2,0.0,2.5,-52.0,diminuzione,1.6,1.8,0.8,-0.1,0,0.1
AL,2009,0.0,0.3,1.2,-100.0,diminuzione,1.2,1.2,1.3,-1.0,0,-1.2
AL,2010,0.3,0.5,0.0,100.0,aumento,0.5,1.0,0.6,-0.9,1,-0.5
AL,2011,0.5,0.6,0.3,66.7,aumento,0.3,0.9,0.3,-0.6,1,0.3
AL,2012,0.6,0.9,0.5,20.0,aumento,0.5,0.5,0.2,0.0,1,0.2
AL,2013,0.9,0.3,0.6,50.0,aumento,0.7,0.5,0.2,2.0,1,0.2
AL,2014,0.3,0.2,0.9,-66.7,diminuzione,0.6,0.5,0.3,-0.4,0,-0.1
AL,2015,0.2,0.1,0.3,-33.3,diminuzione,0.5,0.5,0.4,-0.7,0,-0.4
AL,2016,0.1,0.6,0.2,-50.0,diminuzione,0.2,0.4,0.1,-0.9,0,-0.1
AL,2017,0.6,0.6,0.1,500.0,aumento,0.3,0.4,0.3,1.0,1,0.2
AL,2018,0.6,0.2,0.6,0.0,stabile,0.4,0.4,0.3,2.0,0,0.3
AL,2019,0.2,0.2,0.6,-66.7,diminuzione,0.5,0.3,0.2,1.0,0,-0.2
AL,2020,0.2,1.9,0.2,0.0,stabile,0.3,0.3,0.2,-0.7,0,-0.2
AL,2021,1.9,6.4,0.2,850.0,aumento,0.8,0.7,1.0,2.2,1,0.8
AL,2022,6.4,4.5,1.9,236.8,aumento,2.8,1.9,3.2,31.0,1,3.1
AL,2023,4.5,2.2,6.4,-29.7,diminuzione,4.3,2.6,2.3,21.5,0,1.3
AT,1992,4.9,4.7,4.4,11.4,stabile,4.9,4.9,0.0,0.0,1,0.0
AT,1993,4.7,3.4,4.9,-4.1,stabile,4.8,4.8,0.1,0.0,0,0.0
AT,1994,3.4,3.5,4.7,-27.7,diminuzione,4.3,4.3,0.8,0.0,0,-0.7
AT,1995,3.5,1.6,3.4,2.9,stabile,3.9,4.1,0.7,-0.3,1,-0.6
AT,1996,1.6,2.8,3.5,-54.3,diminuzione,2.8,3.6,1.1,-0.7,0,-0.9
AT,1997,2.8,2.1,1.6,75.0,aumento,2.6,3.2,1.0,-0.2,1,-0.3
AT,1998,2.1,2.1,2.8,-25.0,diminuzione,2.2,2.7,0.6,-0.4,0,0.3
AT,1999,2.1,2.2,2.1,0.0,stabile,2.3,2.4,0.4,0.3,0,-0.3
AT,2000,2.2,2.2,2.1,4.8,stabile,2.1,2.2,0.1,-0.2,1,0.1
AT,2001,2.2,1.4,2.2,0.0,stabile,2.2,2.3,0.1,0.0,0,0.1
AT,2002,1.4,2.8,2.2,-36.4,diminuzione,1.9,2.0,0.5,-0.3,0,-0.4
AT,2003,2.8,5.1,1.4,100.0,aumento,2.1,2.1,0.7,0.3,1,0.3
AT,2004,5.1,2.1,2.8,82.1,aumento,3.1,2.7,1.9,1.3,1,1.8
AT,2005,2.1,4.6,5.1,-58.8,diminuzione,3.3,2.7,1.6,0.5,0,-0.3
AT,2006,4.6,4.5,2.1,119.0,aumento,3.9,3.2,1.6,0.6,1,-0.2
AT,2007,4.5,5.2,4.6,-2.2,stabile,3.7,3.8,1.4,-0.1,0,1.2
AT,2008,5.2,0.7,4.5,15.6,aumento,4.8,4.3,0.4,1.5,1,0.3
AT,2009,0.7,3.1,5.2,-86.5,diminuzione,3.5,3.4,2.4,-0.8,0,-1.9
AT,2010,3.1,2.4,0.7,342.9,aumento,3.0,3.6,2.3,-0.3,1,-1.0
AT,2011,2.4,2.1,3.1,-22.6,diminuzione,2.1,3.2,1.2,-0.5,0,0.8
AT,2012,2.1,1.9,2.4,-12.5,stabile,2.5,2.7,0.5,2.0,0,-0.5
AT,2013,1.9,1.1,2.1,-9.5,stabile,2.1,2.0,0.3,-0.4,0,-0.2
AT,2014,1.1,1.5,1.9,-42.1,diminuzione,1.7,2.1,0.5,-0.5,0,-0.5
AT,2015,1.5,0.7,1.1,36.4,aumento,1.5,1.8,0.4,-0.3,1,-0.2
AT,2016,0.7,3.5,1.5,-53.3,diminuzione,1.1,1.5,0.4,-0.6,0,-0.2
AT,2017,3.5,2.9,0.7,400.0,aumento,1.9,1.7,1.4,2.2,1,1.0
AT,2018,2.9,1.1,3.5,-17.1,diminuzione,2.4,1.9,1.5,0.9,0,1.1
AT,2019,1.1,0.8,2.9,-62.1,diminuzione,2.5,1.9,1.2,0.6,0,-1.2
AT,2020,0.8,10.5,1.1,-27.3,diminuzione,1.6,1.8,1.1,-0.8,0,-1.0
AT,2021,10.5,10.1,0.8,1212.5,aumento,4.1,3.8,5.5,2.6,1,4.7
AT,2022,10.1,1.1,10.5,-3.8,stabile,7.1,5.1,5.5,8.2,0,4.6
AT,2023,1.1,3.7,10.1,-89.1,diminuzione,7.2,4.7,5.3,0.4,0,-4.7
BE,2001,1.6,2.0,1.6,0.0,stabile,1.6,1.6,0.0,0.0,0,0.0
BE,2001,2.0,1.9,1.6,25.0,aumento,1.8,1.8,0.3,0.0,1,0.0
BE,2002,1.9,1.9,2.0,-5.0,stabile,1.8,1.8,0.2,0.0,0,0.2
BE,2002,1.9,1.9,1.9,0.0,stabile,1.9,1.8,0.1,0.2,0,-0.0
BE,2002,1.9,1.7,1.9,0.0,stabile,1.9,1.9,0.0,-0.1,0,0.0
