geo,TIME_PERIOD,OBS_VALUE,pred_cost
AL,2004,3.0,1.5925000000000005
AL,2005,1.4,1.5689999999999973
AL,2006,1.1,2.737999999999999
AL,2007,2.5,1.7565215046391502
AL,2008,1.2,0.6450000000000001
AL,2009,0.0,0.11400000000000012
AL,2010,0.3,0.604
AL,2011,0.5,0.7399999999999995
AL,2012,0.6,0.8358451680672274
AL,2013,0.9,0.539999999999999
AL,2014,0.3,0.3403333333333329
AL,2015,0.2,0.2320000000000001
AL,2016,0.1,0.34400000000000064
AL,2017,0.6,0.9788035014005613
AL,2018,0.6,0.858410873195432
AL,2019,0.2,-0.07411805555555559
AL,2020,0.2,-0.5219999999999991
AL,2021,1.9,2.7420000000000018
AL,2022,6.4,5.391
AL,2023,4.5,4.564000000000002
AT,1992,4.9,3.8854999999999955
AT,1993,4.7,3.235499999999998
AT,1994,3.4,3.8970000000000002
AT,1995,3.5,2.385999999999998
AT,1996,1.6,2.723000000000003
AT,1997,2.8,2.347999999999999
AT,1998,2.1,2.3536428571428534
AT,1999,2.1,2.6769999999999983
AT,2000,2.2,2.5199999999999965
AT,2001,2.2,1.6237142857142888
AT,2002,1.4,2.5758000000000023
AT,2003,2.8,4.434000000000004
AT,2004,5.1,2.6739999999999986
AT,2005,2.1,3.506000000000002
AT,2006,4.6,4.724
AT,2007,4.5,4.916999999999995
AT,2008,5.2,1.215000000000001
AT,2009,0.7,1.9481414141414124
AT,2010,3.1,2.4430000000000027
AT,2011,2.4,2.4559999999999977
AT,2012,2.1,2.038000000000002
AT,2013,1.9,1.6457614907022775
AT,2014,1.1,2.338000000000002
AT,2015,1.5,1.2470000000000008
AT,2016,0.7,2.646999999999998
AT,2017,3.5,2.5220000000000007
AT,2018,2.9,2.662999999999999
AT,2019,1.1,3.4530000000000003
AT,2020,0.8,1.4589333333333343
AT,2021,10.5,6.884999999999996
AT,2022,10.1,7.541999999999996
AT,2023,1.1,0.7869999999999984
BE,2001,1.6,2.0
BE,2001,2.0,1.9000000000000035
BE,2002,1.9,1.9110000000000034
BE,2002,1.9,1.9000000000000035
BE,2002,1.9,1.6999999999999986
BE,2003,1.7,1.8484271747859982
BE,2003,1.7,1.8484271747859982
BE,2003,2.0,3.0
BE,2004,3.0,3.0
BE,2004,3.0,3.1909999999999945
BE,2004,3.2,2.5
BE,2005,2.5,2.559498009416064
BE,2005,2.5,2.559498009416064
BE,2005,2.5,3.0
BE,2006,3.0,3.0
BE,2006,3.0,3.300000000000006
BE,2006,3.3,4.0
BE,2007,4.0,3.998
BE,2007,4.0,4.199999999999992
BE,2007,4.2,3.699999999999993
BE,2008,3.7,3.851758153729319
BE,2008,3.7,3.851758153729319
BE,2008,4.0,0.39999999999999925
BE,2009,0.4,0.39999999999999925
BE,2009,0.4,0.7882121089694621
BE,2009,0.4,1.9000000000000035
BE,2010,1.9,1.9000000000000035
BE,2010,1.9,1.8000000000000016
BE,2010,1.8,3.1000000000000005
BE,2011,3.1,3.101000000000001
BE,2011,3.1,3.3080000000000056
BE,2011,3.3,1.9000000000000035
BE,2012,1.9,1.9481116877403641
BE,2012,1.9,1.9481116877403641
BE,2012,2.0,0.7000000000000013
BE,2013,0.7,0.7000000000000013
BE,2013,0.7,0.6854066267066269
BE,2013,0.7,0.5990000000000009
BE,2014,0.6,0.6474101173250554
BE,2014,0.6,0.6474101173250554
BE,2014,0.7,0.9000000000000008
BE,2015,0.9,0.9000000000000008
BE,2015,0.9,0.8849566877566876
BE,2015,0.9,0.7999999999999985
BE,2016,0.8,0.9538838544582355
BE,2016,0.8,0.9538838544582355
BE,2016,1.1,2.5
BE,2017,2.5,2.471
BE,2017,2.5,2.2689999999999997
BE,2017,2.6,2.0329642857142853
BE,2018,2.9,3.82
BE,2018,2.9,3.5412500000000016
BE,2018,2.9,2.1392500000000005
BE,2019,1.8,1.8145218525755278
BE,2019,1.8,1.8145218525755278
BE,2019,2.0,1.6562999999999997
BE,2020,1.4,2.2688000000000006
BE,2020,1.4,2.2688000000000006
BE,2020,1.4,3.102163636363639
BE,2021,6.3,3.358000000000002
BE,2021,6.3,2.7710000000000026
BE,2021,6.5,2.8280000000000016
BE,2022,12.1,6.496000000000004
BE,2022,12.1,6.757000000000005
BE,2022,12.4,8.369000000000002
BE,2023,3.3,2.349999999999998
BE,2023,3.3,2.462999999999998
BG,2002,1.9,1.986
BG,2003,2.0,3.0228642857142853
BG,2004,2.9,6.2219999999999995
BG,2005,8.5,6.011000000000008
BG,2006,6.1,4.983000000000003
BG,2007,6.3,10.305000000000007
BG,2008,12.1,7.109000000000004
BG,2009,7.2,0.4150000000000001
BG,2010,-1.5,1.0460000000000003
BG,2011,0.5,0.37906666666666633
BG,2012,-0.7,1.0000000000000009
BG,2013,1.4,0.8619999999999998
BG,2014,0.5,1.1566666666666683
BG,2015,1.2,1.3099999999999983
BG,2016,0.6,2.2603333333333304
BG,2017,2.7,3.148999999999999
BG,2018,2.7,2.615999999999998
BG,2019,5.3,3.9420000000000033
BG,2020,2.2,2.359
BG,2021,11.4,8.809000000000003
BG,2022,54.8,25.230999999999998
BG,2023,16.3,17.220999999999997
CY,2000,4.4,3.497000000000002
CY,2001,3.6,3.7565147058823487
CY,2002,3.9,4.2709999999999955
CY,2003,5.4,5.982999999999999
CY,2004,7.2,4.075999999999999
CY,2005,4.5,4.947000000000004
CY,2006,5.1,5.055999999999999
CY,2007,5.0,6.119021052631576
CY,2008,7.9,3.3930000000000007
CY,2009,0.9,2.073999999999998
CY,2010,3.1,2.9720000000000004
CY,2011,3.5,1.342000000000002
CY,2012,0.9,-1.9221538461538459
CY,2013,-4.0,-0.4289999999999992
CY,2014,-1.8,-0.3670000000000001
CY,2015,-0.8,-0.5319999999999993
CY,2016,-0.8,0.16799999999999982
CY,2017,0.1,0.6830000000000003
CY,2018,1.2,1.6879999999999984
CY,2019,2.2,2.3070000000000013
CY,2020,0.2,0.8600000000000004
CY,2021,7.6,6.354000000000001
CY,2022,11.7,15.491999999999996
CY,2023,2.5,2.101999999999998
CZ,2002,2.5,2.5812428571428567
CZ,2003,2.0,5.414
CZ,2004,8.3,5.639999999999999
CZ,2005,3.7,2.736999999999997
CZ,2006,2.2,3.246000000000003
CZ,2007,4.8,3.592
CZ,2008,3.5,0.9630000000000014
CZ,2009,-0.3,0.927
CZ,2010,1.0,2.0020000000000016
CZ,2011,1.8,1.2579999999999996
CZ,2012,0.5,0.1520000000000003
CZ,2013,-0.4,0.77
CZ,2014,1.1,1.0689999999999988
CZ,2015,0.1,0.3029999999999999
CZ,2016,0.2,1.4070000000000003
CZ,2017,2.7,2.9330000000000007
CZ,2018,4.0,4.523000000000002
CZ,2019,5.5,5.157000000000005
CZ,2020,2.1,2.5429999999999993
CZ,2021,8.3,5.563000000000001
CZ,2022,20.4,10.054000000000011
CZ,2023,4.4,2.508
DE,2002,0.9,0.9954090909090894
DE,2003,1.1,2.976000000000001
DE,2004,2.6,2.0180000000000002
DE,2005,1.5,2.2319999999999993
DE,2006,2.5,2.9620000000000033
DE,2007,3.3,3.334999999999998
DE,2008,3.4,1.3309999999999989
DE,2009,0.3,1.646000000000001
DE,2010,2.3,3.020999999999997
DE,2011,3.7,2.614
DE,2012,2.0,0.9120000000000015
DE,2013,0.7,0.7859999999999999
DE,2014,0.9,1.2399999999999984
DE,2015,1.3,3.4420000000000033
DE,2016,1.3,3.5140000000000002
DE,2017,3.5,2.3960000000000012
DE,2018,3.6,2.6300000000000012
DE,2019,2.2,1.7959999999999985
DE,2020,2.0,1.6880534155387097
DE,2021,6.8,4.637999999999998
DE,2022,13.0,17.840999999999994
DE,2023,3.5,0.9580000000000001
DK,1997,2.5,2.5812428571428567
DK,1998,3.0,3.1579999999999977
DK,1999,3.2,2.6539999999999964
DK,2000,2.6,2.529463103563101
DK,2001,3.2,2.450999999999996
DK,2002,2.2,2.312928571428573
DK,2003,2.3,2.245999999999997
DK,2004,2.1,2.314000000000002
DK,2005,2.3,3.578999999999994
DK,2006,4.7,5.627999999999993
DK,2007,6.4,4.0769999999999955
DK,2008,2.9,1.3309999999999997
DK,2009,-0.5,1.041000000000001
DK,2010,1.2,3.2410000000000023
DK,2011,3.6,3.136999999999999
DK,2012,2.6,1.4650000000000003
DK,2013,1.5,1.799999999999997
DK,2014,1.6,2.069000000000002
DK,2015,1.9,1.5504545454545455
DK,2016,1.5,1.5740000000000003
DK,2017,0.8,1.0535220779220784
DK,2018,1.8,1.7529740592740592
DK,2019,0.7,0.7659285714285727
DK,2020,0.7,0.8654928835870023
DK,2021,4.0,3.092000000000001
DK,2022,10.0,6.419999999999995
DK,2023,4.5,3.7009999999999996
EE,2000,2.4,4.950625000000002
EE,2001,5.6,3.739999999999999
EE,2002,4.0,3.119999999999999
EE,2003,3.5,4.051999999999995
EE,2004,5.2,5.421000000000004
EE,2005,6.3,9.506999999999994
EE,2006,10.4,9.660000000000005
EE,2007,12.6,5.282
EE,2008,3.5,-4.219000000000005
